,kind,date,mode_price,area,mean_temp,max_temp,min_temp,sum_rain,sun_time,mean_humid,difference_temp
0,だいこん,20051107,735.0,0,18.8,24.4,14.7,7.0,5.5,64.0,9.7
2,キャベツ,20051107,682.5,0,18.8,24.4,14.7,7.0,5.5,64.0,9.7
3,トマト,20051107,2415.0,0,18.8,24.4,14.7,7.0,5.5,64.0,9.7
5,だいこん,20051108,840.0,0,17.7,22.0,13.7,0.0,9.5,49.0,8.3
7,キャベツ,20051108,682.5,0,17.7,22.0,13.7,0.0,9.5,49.0,8.3
8,トマト,20051108,2310.0,0,17.7,22.0,13.7,0.0,9.5,49.0,8.3
10,だいこん,20051110,735.0,0,13.6,18.0,9.8,0.0,6.2,64.0,8.2
12,キャベツ,20051110,577.5,0,13.6,18.0,9.8,0.0,6.2,64.0,8.2
13,トマト,20051110,1995.0,0,13.6,18.0,9.8,0.0,6.2,64.0,8.2
15,だいこん,20051111,682.5,0,12.5,14.7,9.5,0.0,0.1,72.0,5.199999999999998
17,キャベツ,20051111,630.0,0,12.5,14.7,9.5,0.0,0.1,72.0,5.199999999999998
18,トマト,20051111,1890.0,0,12.5,14.7,9.5,0.0,0.1,72.0,5.199999999999998
20,だいこん,20051112,682.5,0,13.7,19.3,10.9,10.5,4.9,62.0,8.4
22,キャベツ,20051112,761.5,0,13.7,19.3,10.9,10.5,4.9,62.0,8.4
23,トマト,20051112,1785.0,0,13.7,19.3,10.9,10.5,4.9,62.0,8.4
25,だいこん,20051114,682.5,0,12.8,16.0,9.2,0.0,0.0,75.0,6.800000000000002
27,キャベツ,20051114,472.5,0,12.8,16.0,9.2,0.0,0.0,75.0,6.800000000000002
28,トマト,20051114,1680.0,0,12.8,16.0,9.2,0.0,0.0,75.0,6.800000000000002
30,だいこん,20051115,525.0,0,10.5,12.9,8.5,0.0,0.9,69.0,4.4
32,キャベツ,20051115,787.5,0,10.5,12.9,8.5,0.0,0.9,69.0,4.4
33,トマト,20051115,1785.0,0,10.5,12.9,8.5,0.0,0.9,69.0,4.4
35,だいこん,20051116,630.0,0,10.0,13.5,6.9,0.0,5.4,59.0,6.6
37,キャベツ,20051116,472.5,0,10.0,13.5,6.9,0.0,5.4,59.0,6.6
38,トマト,20051116,1680.0,0,10.0,13.5,6.9,0.0,5.4,59.0,6.6
40,だいこん,20051117,630.0,0,9.3,13.9,5.8,0.0,8.0,52.0,8.100000000000001
42,キャベツ,20051117,787.5,0,9.3,13.9,5.8,0.0,8.0,52.0,8.100000000000001
43,トマト,20051117,1785.0,0,9.3,13.9,5.8,0.0,8.0,52.0,8.100000000000001
45,だいこん,20051118,525.0,0,10.3,14.8,5.9,0.0,8.8,52.0,8.9
47,キャベツ,20051118,525.0,0,10.3,14.8,5.9,0.0,8.8,52.0,8.9
48,トマト,20051118,1785.0,0,10.3,14.8,5.9,0.0,8.8,52.0,8.9
50,だいこん,20051119,420.0,0,9.9,14.7,5.9,0.0,6.7,48.0,8.799999999999997
52,にんじん,20051119,1050.0,0,9.9,14.7,5.9,0.0,6.7,48.0,8.799999999999997
53,キャベツ,20051119,630.0,0,9.9,14.7,5.9,0.0,6.7,48.0,8.799999999999997
54,トマト,20051119,1785.0,0,9.9,14.7,5.9,0.0,6.7,48.0,8.799999999999997
56,だいこん,20051121,420.0,0,8.8,13.0,4.8,0.0,2.9,58.0,8.2
58,にんじん,20051121,1050.0,0,8.8,13.0,4.8,0.0,2.9,58.0,8.2
59,キャベツ,20051121,656.25,0,8.8,13.0,4.8,0.0,2.9,58.0,8.2
60,トマト,20051121,1680.0,0,8.8,13.0,4.8,0.0,2.9,58.0,8.2
62,だいこん,20051122,420.0,0,10.0,15.3,4.6,0.0,9.4,63.0,10.7
64,にんじん,20051122,1050.0,0,10.0,15.3,4.6,0.0,9.4,63.0,10.7
65,キャベツ,20051122,918.75,0,10.0,15.3,4.6,0.0,9.4,63.0,10.7
66,トマト,20051122,1680.0,0,10.0,15.3,4.6,0.0,9.4,63.0,10.7
68,だいこん,20051124,472.5,0,12.0,17.2,7.7,0.0,9.0,68.0,9.5
70,にんじん,20051124,945.0,0,12.0,17.2,7.7,0.0,9.0,68.0,9.5
71,キャベツ,20051124,892.5,0,12.0,17.2,7.7,0.0,9.0,68.0,9.5
72,トマト,20051124,1785.0,0,12.0,17.2,7.7,0.0,9.0,68.0,9.5
74,だいこん,20051125,577.5,0,11.3,16.2,7.9,0.0,4.6,70.0,8.299999999999999
76,にんじん,20051125,945.0,0,11.3,16.2,7.9,0.0,4.6,70.0,8.299999999999999
77,キャベツ,20051125,1050.0,0,11.3,16.2,7.9,0.0,4.6,70.0,8.299999999999999
78,トマト,20051125,1680.0,0,11.3,16.2,7.9,0.0,4.6,70.0,8.299999999999999
80,だいこん,20051126,472.5,0,11.9,16.4,7.1,0.0,6.7,64.0,9.3
82,にんじん,20051126,1207.5,0,11.9,16.4,7.1,0.0,6.7,64.0,9.3
83,キャベツ,20051126,735.0,0,11.9,16.4,7.1,0.0,6.7,64.0,9.3
84,トマト,20051126,1785.0,0,11.9,16.4,7.1,0.0,6.7,64.0,9.3
86,だいこん,20051128,525.0,0,12.7,18.3,7.0,0.0,6.8,64.0,11.3
88,にんじん,20051128,945.0,0,12.7,18.3,7.0,0.0,6.8,64.0,11.3
